step,aggregate_reward,correctness_reward,n_claims_metric,n_citations_metric,alternation_canary_reward,starts_with_canary_reward,length_band_canary_reward,template_echo_canary_reward
20,0.6924872173526423,0.5625,1.0078125,1.3359375,0.9296875,0,0.5078125,0
21,0.7294108072916666,0.625,1.046875,1.2421875,0.9609375,0,0.53125,0
22,0.738425237956488,0.5333333333333333,1.0083333333333333,1.5666666666666669,0.9583333333333334,0,0.475,0
23,0.728936144533571,0.4666666666666667,1.0375,2.0083333333333333,0.9666666666666668,0,0.425,0
24,0.7494444444444444,0.8,1.0333333333333334,1.0916666666666666,0.9333333333333332,0,0.4875,0
25,0.7616145833333333,0.4666666666666667,1.025,1.0458333333333334,0.9791666666666666,0,0.4875,0
26,0.7595703125,0.375,1,1.015625,0.9765625,0,0.5859375,0
27,0.7506696428571429,0.2857142857142857,1,0.9955357142857144,0.9955357142857144,0,0.5089285714285714,0
28,0.743896484375,0.5625,0.9921875,1,0.984375,0,0.75,0
29,0.744921875,0.5625,1,0.984375,1,0,0.4765625,0
30,0.76734375,0.3333333333333333,1.0083333333333333,1,0.9916666666666668,0,0.6916666666666667,0
31,0.7611458333333333,0.6666666666666666,1.0166666666666666,1,1,0,0.6125,0
32,0.775390625,0.5,1,1,1,0,0.7734375,0
33,0.7322115384615386,0.6153846153846154,1,0.9903846153846154,1,0,0.6682692307692307,0
34,0.7792410714285714,0.7142857142857143,1,1,1,0,0.6428571428571429,0
35,0.7627232142857141,0.5,1,0.9910714285714286,1,0,0.42857142857142855,0
36,0.772021484375,0.5,0.9921875,1,0.9921875,0,0.8359375,0
37,0.7665178571428571,0.21428571428571427,1,1,1,0,0.5446428571428571,0
38,0.7696428571428571,0.5714285714285714,1,1,1,0,0.8705357142857143,0
39,0.775625,0.5333333333333333,1,1,1,0,0.9125,0
40,0.777587890625,0.5,1.0078125,1.0078125,1,0,0.7890625,0
41,0.7720833333333332,0.6,1,1,1,0,0.6958333333333333,0
42,0.768505859375,0.4375,0.9921875,0.9921875,0.9921875,0,0.8359375,0
43,0.7640625,0.25,1,1,1,0,0.671875,0
44,0.7680803571428572,0.35714285714285715,1,1,1,0,0.7633928571428571,0
45,0.7579264322916667,0.1875,1.0078125,1.0234375,0.9921875,0,0.6640625,0
46,0.7758333333333333,0.3333333333333333,1,1,1,0,0.8166666666666667,0
47,0.7737499999999999,0.26666666666666666,1,1,1,0,0.6875,0
48,0.764375,0.26666666666666666,1,1,1,0,0.775,0
49,0.7749999999999999,0.3333333333333333,1,1,1,0,0.8583333333333333,0
50,0.780078125,0.5,1,1,1,0,0.890625,0
51,0.76921875,0.4666666666666667,1.0083333333333333,1.0166666666666666,0.9916666666666668,0,0.8041666666666667,0
52,0.7787499999999999,0.4666666666666667,1,1,1,0,0.9166666666666666,0
53,0.773193359375,0.4375,0.9921875,1,0.9921875,0,0.7890625,0
54,0.777880859375,0.5625,0.9921875,1,1,0,0.796875,0
55,0.7690290178571428,0.2857142857142857,1.0089285714285714,0.9910714285714286,0.9821428571428572,0,0.7678571428571429,0
56,0.775,0.6875,1,0.9921875,0.9921875,0,0.7421875,0
57,0.7764423076923077,0.5384615384615384,1,0.9903846153846154,0.9903846153846154,0,0.8605769230769231,0.019230769230769232
58,0.7598214285714285,0.5714285714285714,1,1,1,0,0.8035714285714286,0
59,0.773486328125,0.6875,0.9765625,1,0.9765625,0,0.7578125,0
60,0.7749098557692308,0.38461538461538464,1.0048076923076923,1.0144230769230769,0.9903846153846154,0,0.8125,0.004807692307692308
61,0.7759915865384616,0.6153846153846154,1.0048076923076923,1.0192307692307692,0.9855769230769232,0,0.7932692307692307,0.02403846153846154
62,0.7787388392857143,0.42857142857142855,0.9910714285714286,1,0.9910714285714286,0,0.8214285714285714,0.008928571428571428
63,0.775,0.5625,1,0.9921875,0.9921875,0,0.8359375,0.0078125
64,0.7724888392857144,0.5,0.9910714285714286,1,0.9910714285714286,0,0.7678571428571429,0
65,0.7799107142857142,0.5,1,1,1,0,0.6964285714285714,0.008928571428571428
66,0.7683035714285715,0.6428571428571429,1,1,1,0,0.8169642857142857,0
67,0.767578125,0.5,1,0.9921875,0.9921875,0,0.65625,0
68,0.769140625,0.3125,1,1,1,0,0.78125,0
69,0.77125,0.3333333333333333,1,1,1,0,0.6,0
70,0.7720833333333332,0.3333333333333333,1,1,1,0,0.8208333333333333,0.008333333333333333
71,0.77890625,0.5625,1,1,1,0,0.6875,0.0078125
72,0.7716666666666666,0.5333333333333333,1,1,1,0,0.7833333333333333,0.008333333333333333
73,0.7575892857142856,0.2857142857142857,1,1,1,0,0.5758928571428571,0.017857142857142856
74,0.773828125,0.375,1,1,1,0,0.828125,0.0078125
75,0.7620833333333332,0.4666666666666667,1,1,1,0,0.6583333333333333,0
76,0.7631696428571428,0.5,1,1,1,0,0.75,0.008928571428571428
77,0.7751041666666667,0.6666666666666666,1.0166666666666666,1.0166666666666666,1,0,0.725,0
78,0.7799999999999999,0.26666666666666666,1,1,1,0,0.8,0
79,0.7681770833333333,0.4,1.0083333333333333,1.0083333333333333,1,0,0.5916666666666667,0
80,0.77392578125,0.5,1.015625,1.015625,1,0,0.6875,0
81,0.7772321428571428,0.7142857142857143,1,1,1,0,0.8571428571428571,0
82,0.7733816964285715,0.7142857142857143,0.9910714285714286,1,1,0,0.8660714285714286,0
83,0.7745833333333334,0.3333333333333333,1,1,1,0,0.7958333333333333,0
84,0.7734375,0.6875,1,1,1,0,0.8046875,0
85,0.7752083333333334,0.6666666666666666,1,1,1,0,0.8875,0
86,0.76953125,0.5,1,1,1,0,0.8046875,0
87,0.7790178571428571,0.42857142857142855,1,1,1,0,0.818452380952381,0
88,0.7767857142857143,0.5714285714285714,1,1,1,0,0.75,0
89,0.7470833333333334,0.6666666666666666,1,1,1,0,0.6833333333333333,0
90,0.77875,0.5333333333333333,1,1,1,0,0.7833333333333333,0
91,0.7583333333333333,0.4,1,1,1,0,0.8208333333333333,0
92,0.7515625,0.5625,1,1,1,0,0.6328125,0
93,0.74609375,0.26666666666666666,1.0083333333333333,1.0083333333333333,1,0,0.6,0
94,0.7637499999999999,0.4,1,1,1,0,0.825,0
95,0.7785714285714285,0.5714285714285714,1,1.0089285714285714,0.9910714285714286,0,0.6696428571428571,0
96,0.7415178571428571,0.42857142857142855,1,1.0089285714285714,0.9910714285714286,0,0.6696428571428571,0
97,0.7775,0.5333333333333333,1,1,1,0,0.5333333333333333,0
98,0.7805803571428571,0.5714285714285714,1,1,1,0,0.7276785714285714,0
99,0.7785714285714286,0.42857142857142855,1,1,1,0,0.5982142857142857,0
